Unnamed: 0,Ticker,Last_Update,Earliest_Record,Asset_Class
0,ALL,2020-03-01,2018-05-31,currency
1,AFN,2020-03-01,2018-05-31,currency
2,ARS,2020-03-01,2018-05-31,currency
3,AWG,2020-03-01,2018-05-31,currency
4,AUD,2020-03-01,1999-01-04,currency
5,AZN,2020-03-01,2018-05-31,currency
6,BSD,2020-03-01,2018-05-31,currency
7,BBD,2020-03-01,2018-05-31,currency
8,BYR,2020-03-01,2018-05-31,currency
9,BZD,2020-03-01,2018-05-31,currency
10,BMD,2020-03-01,2018-05-31,currency
11,BOB,2020-03-01,2018-05-31,currency
12,BAM,2020-03-01,2018-05-31,currency
13,BWP,2020-03-01,2018-05-31,currency
14,BGN,2020-03-01,2000-07-19,currency
15,BRL,2020-03-01,2008-01-02,currency
16,BND,2020-03-01,2018-05-31,currency
17,KHR,2020-03-01,2018-05-31,currency
18,CAD,2020-03-01,1999-01-04,currency
19,KYD,2020-03-01,2018-05-31,currency
20,CLP,,,currency
21,CNY,,,currency
22,COP,,,currency
23,CRC,,,currency
24,HRK,,,currency
25,CUP,,,currency
26,CZK,,,currency
27,DKK,,,currency
28,DOP,,,currency
29,XCD,,,currency
30,EGP,,,currency
31,SVC,,,currency
32,EEK,,,currency
33,EUR,,,currency
34,FKP,,,currency
35,FJD,,,currency
36,GIP,,,currency
37,GTQ,,,currency
38,GGP,,,currency
39,GYD,,,currency
40,HNL,,,currency
41,HKD,,,currency
42,HUF,,,currency
43,ISK,,,currency
44,INR,,,currency
45,IDR,,,currency
46,IRR,,,currency
47,IMP,,,currency
48,ILS,,,currency
49,JMD,,,currency
50,JPY,,,currency
51,JEP,,,currency
52,KZT,,,currency
53,KPW,,,currency
54,KGS,,,currency
55,LAK,,,currency
56,LVL,,,currency
57,LBP,,,currency
58,LRD,,,currency
59,LTL,,,currency
60,MKD,,,currency
61,MYR,,,currency
62,MUR,,,currency
63,MXN,,,currency
64,MNT,,,currency
65,MZN,,,currency
66,NAD,,,currency
67,NPR,,,currency
68,ANG,,,currency
69,NZD,,,currency
70,NIO,,,currency
71,NGN,,,currency
72,NOK,,,currency
73,OMR,,,currency
74,PKR,,,currency
75,PAB,,,currency
76,PYG,,,currency
77,PEN,,,currency
78,PHP,,,currency
79,PLN,,,currency
80,QAR,,,currency
81,RON,,,currency
82,RUB,,,currency
83,SHP,,,currency
84,SAR,,,currency
85,RSD,,,currency
86,SCR,,,currency
87,SGD,,,currency
88,SBD,,,currency
89,SOS,,,currency
90,ZAR,,,currency
91,KRW,,,currency
92,LKR,,,currency
93,SEK,,,currency
94,CHF,,,currency
95,SRD,,,currency
96,SYP,,,currency
97,TWD,,,currency
98,THB,,,currency
99,TTD,,,currency
100,TRY,,,currency
101,TRL,,,currency
102,TVD,,,currency
103,UAH,,,currency
104,GBP,,,currency
105,USD,,,currency
106,UYU,,,currency
107,UZS,,,currency
108,VEF,,,currency
109,VND,,,currency
110,YER,,,currency
111,ZWD,,,currency
112,BTC,,,crypto
113,ETH,,,crypto
114,XRP,,,crypto
115,BCH,,,crypto
116,USDT,,,crypto
117,LTC,,,crypto
118,EOS,,,crypto
119,BNB,,,crypto
120,BSV,,,crypto
121,XLM,,,crypto
