Ticker,Last_Update,Earliest_Record,Name
3IN,,,3i Infrastructure 
888,,,888
AAF,,,Airtel Africa 
AGK,,,Aggreko 
AGR,,,Assura 
AGT,,,AVI Global Trust 
AJB,,,AJ Bell 
AML,,,Aston Martin Lagonda Global Holdings  
ASHM,,,Ashmore 
ASL,,,Aberforth Smaller Companies 
ATST,,,Alliance Trust 
AVON,,,Avon Rubber 
AVST,,,Avast 
BAB,,,Babcock International 
BAG,,,Barr (AG) 
BAKK,,,Bakkavor Group 
BBGI,,,BBGI Sicav 
BBOX,,,Tritax Big Box Reit 
BBY,,,Balfour Beatty 
BCPT,,,BMO Commercial Property Tst Ord 1p 
BEZ,,,Beazley 
BGEO,,,Bank of Georgia 
BGFD,,,Baillie Gifford Japan 
BGSC,,,BMO Global Smaller Companies 
BME,,,B&M European Value Retail 
BNKR,,,Bankers Investment Trust 
BOY,,,Bodycote 
BRSC,,,Blackrock Smaller Companies 
BRW,,,Brewin Dolphin 
BRWM,,,Blackrock World Mining Trust 
BVIC,,,Britvic 
BWY,,,Bellway 
BYG,,,Big Yellow 
CAPC,,,Capital & Counties Properties 
CBG,,,Close Brothers 
CCC,,,Computacenter 
CCR,,,C&C 
CEY,,,Centamin 
CINE,,,Cineworld 
CKN,,,Clarkson 
CLDN,,,Caledonia Investment 
CLI,,,CLS 
CNE,,,Cairn Energy 
COA,,,Coats 
CPI,,,Capita 
CRST,,,Crest Nicholson 
CSP,,,Countryside Properties 
CTEC,,,Convatec Group 
CTY,,,City of London Inv Tst 
CWK,,,Cranswick 
DC.,,,Dixons Carphone 
DIGS,,,GCP Student Living 
DJAN,,,Daejan 
DLG,,,Direct Line Insurance 
DLN,,,Derwent London 
DNLM,,,Dunelm 
DOM,,,Domino's Pizza (UK) 
DPH,,,Dechra Pharmaceuticals 
DPLM,,,Diploma 
DRX,,,Drax 
ECM,,,Electrocomponents 
EDIN,,,Edinburgh Inv Tst 
ELM,,,Elementis 
EMG,,,Man Group 
ENOG,,,Energean Oil & Gas 
EQN,,,Equiniti 
ERM,,,Euromoney Institutnl Investor 
ESNT,,,Essentra 
FCIT,,,F&C Investment Trust 
FCSS,,,Fidelity China Spec Situations 
FDM,,,FDM 
FEV,,,Fidelity European Values 
FGP,,,FirstGroup 
FGT,,,Finsbury Growth & Inc 
FOUR,,,4imprint 
FRAS,,,Frasers 
FRES,,,Fresnillo 
FSFL,,,Foresight Solar 
FSJ,,,Fisher (James) & Sons 
FSV,,,Fidelity Special Values 
FUTR,,,Future 
FXPO,,,Ferrexpo 
GAW,,,Games Workshop 
GCP,,,GCP Infrastructure 
GFRD,,,Galliford Try 
GFS,,,G4S 
GFTU,,,Grafton Group Units 
GLO,,,Contourglobal 
GNC,,,Greencore 
GNS,,,Genus 
GOG,,,Go-Ahead 
GPOR,,,Great Portland Estates 
GRG,,,Greggs 
GRI,,,Grainger 
GSS,,,Genesis Emerging Markets 
GVC,,,GVC 
HAS,,,Hays 
HFG,,,Hilton Food 
HGT,,,HG Capital 
HICL,,,HICL Infrastructure 
HILS,,,Hill & Smith 
HMSO,,,Hammerson 
HOC,,,Hochschild Mining 
HRI,,,Herald Inv Tst 
HSL,,,Henderson Smaller Cos 
HSTG,,,Hastings Group Holdings 
HSV,,,Homeserve 
HSX,,,Hiscox 
HTG,,,Hunting 
HTWS,,,Helios Towers Ord 1p 
HVPE,,,Harbourvest Global Private Equity 
HWDN,,,Howden Joinery 
HYVE,,,Hyve 
IBST,,,Ibstock 
ICGT,,,ICG Enterprise Trust 
ICP,,,Intermediate Capital 
IGG,,,IG 
IHP,,,Integrafin 
IMI,,,IMI 
INCH,,,Inchcape 
INPP,,,International Public Prtnshps 
INVP,,,Investec 
IPO,,,IP 
IWG,,,IWG 
JAM,,,JPM American 
JDW,,,Wetherspoon (JD) 
JEO,,,European Opportunities Trust 
JET,,,Just Eat Takeaway.com 
JFJ,,,JPM Japanese Inv Tst 
JII,,,JPM Indian Inv Trust 
