Unnamed: 0,Ticker,Last_Update,Earliest_Record,Asset_Class
0,ALL,2020-02-13,2018-05-31,currency
1,AFN,2020-02-13,2018-05-31,currency
2,ARS,2020-02-13,2018-05-31,currency
3,AWG,2020-02-13,2018-05-31,currency
4,AUD,2020-02-13,1999-01-04,currency
5,AZN,2020-02-13,2018-05-31,currency
6,BSD,2020-02-13,2018-05-31,currency
7,BBD,2020-02-13,2018-05-31,currency
8,BYR,2020-02-13,2018-05-31,currency
9,BZD,2020-02-13,2018-05-31,currency
10,BMD,2020-02-13,2018-05-31,currency
11,BOB,2020-02-13,2018-05-31,currency
12,BAM,2020-02-13,2018-05-31,currency
13,BWP,2020-02-13,2018-05-31,currency
14,BGN,2020-02-13,2000-07-19,currency
15,BRL,2020-02-13,2008-01-02,currency
16,BND,2020-02-13,2018-05-31,currency
17,KHR,2020-02-13,2018-05-31,currency
18,CAD,2020-02-13,1999-01-04,currency
19,KYD,2020-02-13,2018-05-31,currency
20,CLP,2020-02-13,2018-05-31,currency
21,CNY,2020-02-13,2005-04-01,currency
22,COP,2020-02-13,2018-05-31,currency
23,CRC,2020-02-13,2018-05-31,currency
24,HRK,2020-02-13,2005-04-01,currency
25,CUP,2020-02-13,2018-05-31,currency
26,CZK,2020-02-13,1999-01-04,currency
27,DKK,2020-02-13,1999-01-04,currency
28,DOP,2020-02-13,2018-05-31,currency
29,XCD,2020-02-13,2018-05-31,currency
30,EGP,2020-02-13,2018-05-31,currency
31,SVC,2020-02-13,2018-05-31,currency
32,EEK,2020-02-13,1999-01-04,currency
33,EUR,2020-02-13,1999-01-04,currency
34,FKP,2020-02-13,2018-05-31,currency
35,FJD,2020-02-13,2018-05-31,currency
36,GHC,,,currency
37,GIP,2020-02-13,2018-05-31,currency
38,GTQ,2020-02-13,2018-05-31,currency
39,GGP,2020-02-13,2018-05-31,currency
40,GYD,2020-02-13,2018-05-31,currency
41,HNL,2020-02-13,2018-05-31,currency
42,HKD,2020-02-13,1999-01-04,currency
43,HUF,2020-02-13,1999-01-04,currency
44,ISK,2020-02-13,1999-01-04,currency
45,INR,2020-02-13,2009-01-02,currency
46,IDR,2020-02-13,2005-04-01,currency
47,IRR,2020-02-13,2018-05-31,currency
48,IMP,2020-02-13,2018-05-31,currency
49,ILS,2020-02-13,2011-01-03,currency
50,JMD,2020-02-13,2018-05-31,currency
51,JPY,2020-02-13,1999-01-04,currency
52,JEP,2020-02-13,2018-05-31,currency
53,KZT,2020-02-13,2018-05-31,currency
54,KPW,2020-02-13,2018-05-31,currency
55,KGS,2020-02-13,2018-05-31,currency
56,LAK,2020-02-13,2018-05-31,currency
57,LVL,2020-02-13,1999-01-04,currency
58,LBP,2020-02-13,2018-05-31,currency
59,LRD,2020-02-13,2018-05-31,currency
60,LTL,2020-02-13,1999-01-04,currency
61,MKD,2020-02-13,2018-05-31,currency
62,MYR,2020-02-13,2005-04-01,currency
63,MUR,2020-02-13,2018-05-31,currency
64,MXN,2020-02-13,2008-01-02,currency
65,MNT,2020-02-13,2018-05-31,currency
66,MZN,2020-02-13,2018-05-31,currency
67,NAD,2020-02-13,2018-05-31,currency
68,NPR,2020-02-13,2018-05-31,currency
69,ANG,2020-02-13,2018-05-31,currency
70,NZD,2020-02-13,1999-01-04,currency
71,NIO,2020-02-13,2018-05-31,currency
72,NGN,2020-02-13,2018-05-31,currency
73,NOK,2020-02-13,1999-01-04,currency
74,OMR,2020-02-13,2018-05-31,currency
75,PKR,2020-02-13,2018-05-31,currency
76,PAB,2020-02-13,2018-05-31,currency
77,PYG,2020-02-13,2018-05-31,currency
78,PEN,2020-02-13,2018-05-31,currency
79,PHP,2020-02-13,2005-04-01,currency
80,PLN,2020-02-13,1999-01-04,currency
81,QAR,2020-02-13,2018-05-31,currency
82,RON,2020-02-13,2005-07-01,currency
83,RUB,2020-02-13,2005-04-01,currency
84,SHP,2020-02-13,2018-05-31,currency
85,SAR,2020-02-13,2018-05-31,currency
86,RSD,2020-02-13,2018-05-31,currency
87,SCR,2020-02-13,2018-05-31,currency
88,SGD,2020-02-13,1999-01-04,currency
89,SBD,2020-02-13,2018-05-31,currency
90,SOS,2020-02-13,2018-05-31,currency
91,ZAR,2020-02-13,1999-01-04,currency
92,KRW,2020-02-13,1999-01-04,currency
93,LKR,2020-02-13,2018-05-31,currency
94,SEK,2020-02-13,1999-01-04,currency
95,CHF,2020-02-13,1999-01-04,currency
96,SRD,2020-02-13,2018-05-31,currency
97,SYP,2020-02-13,2018-05-31,currency
98,TWD,2020-02-13,2018-05-31,currency
99,THB,2020-02-13,2005-04-01,currency
100,TTD,2020-02-13,2018-05-31,currency
101,TRY,2020-02-13,2005-01-03,currency
102,TRL,2020-02-13,1999-01-04,currency
103,TVD,,,currency
104,UAH,2020-02-13,2018-05-31,currency
105,GBP,2020-02-13,1999-01-04,currency
106,USD,2020-02-13,1999-01-04,currency
107,UYU,2020-02-13,2018-05-31,currency
108,UZS,2020-02-13,2018-05-31,currency
109,VEF,2020-02-13,2018-05-31,currency
110,VND,2020-02-13,2018-05-31,currency
111,YER,2020-02-13,2018-05-31,currency
112,ZWD,,,currency
113,BTC,2020-02-13,2011-08-18,crypto
114,ETH,2020-02-13,2015-08-07,crypto
115,XRP,,,crypto
116,BCH,,,crypto
117,USDT,,,crypto
118,LTC,,,crypto
119,EOS,,,crypto
120,BNB,,,crypto
121,BSV,,,crypto
122,XLM,,,crypto
