Unnamed: 0,Ticker,Last_Update,Earliest_Record,Asset_Class
0,VFIAX,2020-02-08,1970-1-1,index_funds
1,SPY,2020-02-08,1970-1-1,index_funds
2,VTSAX,2020-02-08,1970-1-1,index_funds
3,FXAIX,2020-02-08,2020-02-01,index_funds
4,IVV,2020-02-08,1970-1-1,index_funds
5,VSMPX,2020-02-08,1970-1-1,index_funds
6,FDRXX,2020-02-08,1970-1-1,index_funds
7,VGTSX,2020-02-08,1970-1-1,index_funds
8,VITSX,2020-02-08,1970-1-1,index_funds
9,VMFXX,2020-02-08,1970-1-1,index_funds
10,VTSMX,,,index_funds
11,SPAXX,,,index_funds
12,VIIIX,,,index_funds
13,VTPSX,,,index_funds
14,VINIX,,,index_funds
15,VTBIX,,,index_funds
16,FGTXX,,,index_funds
17,VMMXX,,,index_funds
18,VBTLX,,,index_funds
19,TFDXX,,,index_funds
20,FCNTX,,,index_funds
21,VWENX,,,index_funds
22,AGTHX,,,index_funds
23,FRGXX,,,index_funds
24,OGVXX,,,index_funds
25,CL,,,comodities_future
26,QM,,,comodities_future
27,NG,,,comodities_future
28,HO,,,comodities_future
29,GC,,,comodities_future
30,YG,,,comodities_future
31,SI,,,comodities_future
32,YI,,,comodities_future
33,HG,,,comodities_future
34,PL,,,comodities_future
35,UX,,,comodities_future
36,CC,,,comodities_future
37,CJ,,,comodities_future
38,KC,,,comodities_future
39,TT,,,comodities_future
40,DY,,,comodities_future
41,DC,,,comodities_future
42,QJ,,,comodities_future
43,SB,,,comodities_future
44,C,,,comodities_future
45,ZC,,,comodities_future
46,XC,,,comodities_future
47,YC,,,comodities_future
48,O,,,comodities_future
49,ZO,,,comodities_future
50,RR,,,comodities_future
51,W,,,comodities_future
52,S,,,comodities_future
53,FC,,,comodities_future
54,GF,,,comodities_future
55,HE,,,comodities_future
56,LH,,,comodities_future
57,LC,,,comodities_future
58,LE,,,comodities_future
59,SHV,,,bonds
60,TLT,,,bonds
61,IEF,,,bonds
62,SHY,,,bonds
63,GOVT,,,bonds
64,BIL,,,bonds
65,IEI,,,bonds
66,VGSH,,,bonds
67,SCHO,,,bonds
68,SCHR,,,bonds
69,VGIT,,,bonds
70,GBIL,,,bonds
71,SPTL,,,bonds
72,SPTS,,,bonds
73,VGLT,,,bonds
74,EDV,,,bonds
75,SPTI,,,bonds
76,TLH,,,bonds
77,CLTL,,,bonds
78,TBT,,,bonds
79,JAGG,,,bonds
80,ZROZ,,,bonds
81,TMF,,,bonds
82,TBF,,,bonds
83,PLW,,,bonds
84,TMV,,,bonds
85,PST,,,bonds
86,UBT,,,bonds
87,UST,,,bonds
88,TTT,,,bonds
89,TBX,,,bonds
90,SCHQ,,,bonds
91,DTYS,,,bonds
92,TYD,,,bonds
93,TYO,,,bonds
94,TAPR,,,bonds
95,RISE,,,bonds
96,DTYL,,,bonds
97,DTUL,,,bonds
98,DFVL,,,bonds
99,DLBS,,,bonds
100,FLAT,,,bonds
101,STPP,,,bonds
102,DFVS,,,bonds
103,DTUS,,,bonds
104,TYBS,,,bonds
105,DLBL,,,bonds
